DoD Grade	Abbreviation	NATO Code	Title	Image URL
		OR-1	Vojnik	https://upload.wikimedia.org/wikipedia/commons/d/d3/Bosnia_and_Herzegovina_Private_Insignia.svg
		OR-2	Vojnik 1 klase	https://upload.wikimedia.org/wikipedia/commons/c/c7/Bosnia_and_Herzegovina_Private_First_Class_Insignia.svg
		OR-3/4	Kaplar	https://upload.wikimedia.org/wikipedia/commons/d/d8/Bosnia_and_Herzegovina_Corporal_Insignia.svg
		OR-5	Vodnik	https://upload.wikimedia.org/wikipedia/commons/9/92/Bosnia_and_Herzegovina_Sergeant_Insignia.svg
		OR-6	Stariji vodnik	https://upload.wikimedia.org/wikipedia/commons/c/c1/Bosnia_and_Herzegovina_Staff_Sergeant_Insignia.svg
		OR-7	Stariji vodnik 1	https://upload.wikimedia.org/wikipedia/commons/5/53/Bosnia_and_Herzegovina_Sergeant_First_Class_Insignia.svg
		OR-8	Zastavnik	https://upload.wikimedia.org/wikipedia/commons/e/e8/Bosnia_and_Herzegovina_Master_Sergeant_Insignia.svg
		OR-9	Zastavnik 1 klase	https://upload.wikimedia.org/wikipedia/commons/9/93/Bosnia_and_Herzegovina_Sergeant_Major_Insignia.svg
		OF-1	Podporucnik	https://upload.wikimedia.org/wikipedia/commons/4/45/Bosnia_and_Herzegovina_Lieutenant_Insignia.svg
		OF-1	Porucnik	https://upload.wikimedia.org/wikipedia/commons/c/c1/Bosnia_and_Herzegovina_1st_Lieutenant_Insignia.svg
		OF-2	Kapetan	https://upload.wikimedia.org/wikipedia/commons/b/be/Bosnia_and_Herzegovina_Captain_Insignia.svg
		OF-3	Major	https://upload.wikimedia.org/wikipedia/commons/3/33/Bosnia_and_Herzegovina_Major_Insignia.svg
		OF-4	Pukovnik	https://upload.wikimedia.org/wikipedia/commons/5/57/Bosnia_and_Herzegovina_Colonel_Insignia.svg
		OF-5	Brigadir	https://upload.wikimedia.org/wikipedia/commons/5/58/Bosnia_and_Herzegovina_Brigadier_Insignia.svg
		OF-6	Brigadni general	https://upload.wikimedia.org/wikipedia/commons/9/97/Bosnia_and_Herzegovina_Brugadier-general_Insignia.svg
		OF-7	General major	https://upload.wikimedia.org/wikipedia/commons/a/ac/Bosnia_and_Herzegovina_Major-general_Insignia.svg
		OF-8	General pukovnik	https://upload.wikimedia.org/wikipedia/commons/f/f5/Bosnia_and_Herzegovina_Colonel-general_Insignia.svg

http://en.wikipedia.org/wiki/Armed_Forces_of_Bosnia_and_Herzegovina
