DoD Grade	Abbreviation	NATO Code	Title	Image URL
E-1	AB	OR-1	Airman Basic	
E-2	Amn	OR-2	Airman	https://upload.wikimedia.org/wikipedia/commons/f/f5/E2_USAF_AM.svg
E-3	A1C	OR-3	Airman First Class	https://upload.wikimedia.org/wikipedia/commons/7/7d/E3_USAF_AM1.svg
E-4	SrA	OR-4	Senior Airman	https://upload.wikimedia.org/wikipedia/commons/4/40/E4_USAF_SAM.svg
E-5	SSgt	OR-5	Staff Sergeant	https://upload.wikimedia.org/wikipedia/commons/e/ea/E5_USAF_SSGT.svg
E-6	TSgt	OR-6	Technical Sergeant	https://upload.wikimedia.org/wikipedia/commons/f/fc/E6_USAF_TSGT.svg
E-7	MSgt	OR-7	Master Sergeant	https://upload.wikimedia.org/wikipedia/commons/4/4e/E7a_USAF_MSGT.svg
E-8	SMSgt	OR-8	Senior Master Sergeant	https://upload.wikimedia.org/wikipedia/commons/8/8b/E8a_USAF_SMSGT.svg
E-9	CMSgt	OR-9	Chief Master Sergeant	https://upload.wikimedia.org/wikipedia/commons/e/ef/E9a_USAF_CMSGT.svg
E-9	CCM	OR-9	Command Chief Master Sergeant	https://upload.wikimedia.org/wikipedia/commons/3/36/E9c_USAF_CCMS.svg
E-9	CMSAF	OR-9	Chief Master Sergeant of the Air Force	https://upload.wikimedia.org/wikipedia/commons/8/8d/E9d_USAF_CMSAF.svg

# First sergeant is not a separate rank, but a diamond is inserted into the upper field.
# TODO: Figure out how to handle the case where the rank is the same but there may be
# two separate insignia (return an array of images?).
