DoD Grade	Abbreviation	NATO Code	Title	Image URL
E-1	PV1	OR-1	Private	
E-2	PV2	OR-2	Private	https://upload.wikimedia.org/wikipedia/commons/9/91/Army-USA-OR-02.svg
E-3	PFC	OR-3	Private First Class	https://upload.wikimedia.org/wikipedia/commons/c/cc/Army-USA-OR-03.svg
E-4	SPC	OR-4	Specialist	https://upload.wikimedia.org/wikipedia/commons/1/1c/Army-USA-OR-04b.svg
E-4	CPL	OR-4	Corporal	https://upload.wikimedia.org/wikipedia/commons/a/a2/Army-USA-OR-04a.svg
E-5	SGT	OR-5	Sergeant	https://upload.wikimedia.org/wikipedia/commons/2/27/Army-USA-OR-05.svg
E-6	SSG	OR-6	Staff Sergeant	https://upload.wikimedia.org/wikipedia/commons/0/0b/Army-USA-OR-06.svg
E-7	SFC	OR-7	Sergeant First Class	https://upload.wikimedia.org/wikipedia/commons/7/71/Army-USA-OR-07.svg
E-8	MSG	OR-8	Master Sergeant	https://upload.wikimedia.org/wikipedia/commons/8/8a/Army-USA-OR-08b.svg
E-8	1SG	OR-8	First Sergeant	https://upload.wikimedia.org/wikipedia/commons/3/3c/Army-USA-OR-08a.svg
E-9	SGM	OR-9	Sergeant Major	https://upload.wikimedia.org/wikipedia/commons/5/5d/Army-USA-OR-09c.svg
E-9	CSM	OR-9	Command Sergeant Major	https://upload.wikimedia.org/wikipedia/commons/3/31/Army-USA-OR-09b.svg
E-9	SMA	OR-9	Sergeant Major of the Army	https://upload.wikimedia.org/wikipedia/commons/f/f6/Army-USA-OR-09a.svg
