DoD Grade	Abbreviation	NATO Code	Title	Image URL
E-1	Pvt	OR-1	Private	
E-2	PFC	OR-2	Private First Class	https://upload.wikimedia.org/wikipedia/commons/1/17/USMC-E2.svg
E-3	LCpl	OR-3	Lance Corporal	https://upload.wikimedia.org/wikipedia/commons/4/4e/USMC-E3.svg
E-4	Cpl	OR-4	Corporal	https://upload.wikimedia.org/wikipedia/commons/2/24/USMC-E4.svg
E-5	Sgt	OR-5	Sergeant	https://upload.wikimedia.org/wikipedia/commons/6/69/USMC-E5.svg
E-6	SSgt	OR-6	Staff Sergeant	https://upload.wikimedia.org/wikipedia/commons/7/77/USMC-E6.svg
E-7	GySgt	OR-7	Gunnery Sergeant	https://upload.wikimedia.org/wikipedia/commons/f/f6/USMC-E7.svg
E-8	MSgt	OR-8	Master Sergeant	https://upload.wikimedia.org/wikipedia/commons/3/3c/USMC-E8-MSG.svg
E-8	1stSgt	OR-8	First Sergeant	https://upload.wikimedia.org/wikipedia/commons/4/43/USMC-E8-1SG.svg
E-9	MGySgt	OR-9	Master Gunnery Sergeant	https://upload.wikimedia.org/wikipedia/commons/a/aa/USMC-E9-MGyS.svg
E-9	SgtMaj	OR-9	Sergeant Major	https://upload.wikimedia.org/wikipedia/commons/8/80/USMC-E9-SGM.svg
E-9	SgtMajMarCor	OR-9	Sergeant Major of the Marine Corps	https://upload.wikimedia.org/wikipedia/commons/3/38/USMC-E9-SGMMC.svg
