DoD Grade	Abbreviation	NATO Code	Title	Image URL
E-1	SR	OR-1	Seaman Recruit	
E-2	SA	OR-2	Seaman Apprentice	https://upload.wikimedia.org/wikipedia/commons/1/17/E2_SM_USN.png
E-3	SN	OR-3	Seaman	https://upload.wikimedia.org/wikipedia/commons/1/1e/E3_SM_USN.png
E-4	PO3	OR-4	Petty Officer Third Class	https://upload.wikimedia.org/wikipedia/commons/4/49/PO3_GC.png
E-5	PO2	OR-5	Petty Officer Second Class	https://upload.wikimedia.org/wikipedia/commons/f/fc/PO2_GC.png
E-6	PO1	OR-6	Petty Officer First Class	https://upload.wikimedia.org/wikipedia/commons/d/d7/PO1_GC.png
E-7	CPO	OR-7	Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/6/6a/CPO_GC.svg
E-8	SCPO	OR-8	Senior Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/c/cc/SCPO_GC.svg
E-9	MCPO	OR-9	Master Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/b/bd/MCPO_GC.svg
E-9	CMDCM	OR-9	Command Master Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/3/37/CMCPO.svg
E-9	FLTCM	OR-9	Fleet Master Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/c/cd/FMCPO.svg
E-9	FORCM	OR-9	Force Master Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/c/cd/FMCPO.svg
E-9	MCPON	OR-9	Master Chief Petty Officer of the Navy	https://upload.wikimedia.org/wikipedia/commons/b/be/MCPON.svg
